timeSpentIncorrect,incorrectList,correctList,answers,guessCount,completedAt,timeSpentCorrect,user_id
"[108963, 111456, 263947, 344882]",[],"['2, 4, 6', '8, 10, 12', '1, 2, 3', '3, 5, 9']","['even numbers', 'even numbers', 'even', 'numbers', 'increasing numbers']",3,2025-04-12 18:51:13.809000+00:00,364159,6IngTw3szTbYNis5x07Qvi691ws2
"[132152, 232869, 251466]","['3, 2, 1']","['2, 4, 6', '1, 2, 3', '3, 6, 9']","['even numbers', 'going forward', 'increasing', 'increasing numbers']",3,2025-04-12 18:51:27.382000+00:00,267123,6gIpGeDvo3XWQRH4WWKwgoKnYoh2
[],"['8, 1, 5', '67, 90, 34']","['2, 4, 6', '50, 100, 500']",['increasing numbers'],3,2025-04-09 16:51:03.653000+00:00,66833,7W6lfcdqkwMSOpliyVMYyE9oQJG2
"[271174, 285724, 289341, 301611, 302462, 303246]","['9, 8, 7']","['2, 4, 6', '3, 6, 9', '12, 15, 18', '8, 10, 12', '5, 10, 15']","['there all increasing', 'they’re all increasing', 'they’re all increasing', 'increasing', 'increasing', 'increasing', 'increasing numbers']",5,2025-04-12 18:51:56.799000+00:00,322030,AbE9ZbrOjkgtVgUVDXmM4YXOB5l1
[],[],"['2, 4, 6', '0, 8, 10']",['increasing numbers'],1,2025-04-12 18:56:36.003000+00:00,82397,DQ21B2OgQLZxIDcm5EYSuotk05y1
[],"['8, 4, 15']","['2, 4, 6', '6, 8, 10', '1, 2, 3']",['increasing numbers'],3,2025-04-09 16:54:21.543000+00:00,80561,Ifswdwys5mOVp8LL9bQMRJ884WG2
"[201597, 203994, 220365, 221481, 223532, 602428, 603649, 606583, 621513, 622529, 623372, 623776, 623959, 644204, 729158, 732484, 733031, 733332, 733563, 733799, 784735, 785880, 788430, 788964, 789208, 789447, 789644, 789848, 790045, 790265, 790478, 935247, 936470, 937061, 1043820, 1044900]",[],"['2, 4, 6', '8, 10, 12', '14, 16, 18', '20, 22, 24']","['divisible by 2', 'divisible by 2', 'even numbers', 'even numbers', 'even numbers', 'add 2', 'add 2', 'add 2', 'three even numbers', 'three even numbers', 'three even numbers', 'three even numbers', 'three even numbers', 'twos', 'add 2', 'add 2', 'add 2', 'add 2', 'add 2', 'add 2', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'evens', 'multiples of 2', 'multiples of 2', 'multiples of 2', 'all different numbers', 'all different numbers', 'increasing numbers']",3,2025-04-12 18:53:01.962000+00:00,1155521,VUcID5IZGOPdUUMDJmKafr4Ow9d2
[131937],"['15, 7, 23']","['2, 4, 6', '1, 8, 9', '2, 4, 9']","['test', 'increasing numbers']",3,2025-04-09 06:58:18.361000+00:00,141463,VZEIdm3syyVtXmoFuDgdQsrPt232
"[74284, 86934, 88503, 178082, 179302, 229855, 234550]","['3, 1, 2']","['2, 4, 6', '8, 10, 12', '10, 16, 26', '1, 3, 5', '5, 8, 11', '7, 16, 45']","['10, 16, 16', '8, 10, 12', '8, 10, 12', 'increases by 2', 'increases by 2', 'every number increases', 'every number increases', 'increasing numbers']",6,2025-04-09 14:05:46.349000+00:00,250775,ZcjkWqC2kXdCWqrLsAnUT8KUvmH3
"[100939, 112951, 339829, 403148, 416765, 429445, 476307]","['22222, 2254, 1244', '1231, 1242, 1236', '120000, 110000, 100002', '234, 254, 236', '2, 1, 0']","['2, 4, 6', '8, 10, 12', '11, 13, 111', '10000, 100001, 100002', '111, 222, 333', '12, 14, 16', '234, 235, 236']","['increasing by 2', 'add 2', 'range', 'any pattern', 'in order', 'smallest to largest', 'numerical order', 'increasing number']",11,2025-04-09 14:11:38.045000+00:00,521392,aLNrF0GLN8a5kJ7TS5uIkEevEWg1
"[195588, 197605]","['9, 6, 7', '9, 8, 7']","['2, 4, 6', '2, 4, 6', '1, 2, 3', '2, 6, 9', '1, 4, 7']","['numbers going up in any order', 'numbers going up in any order', 'increasing number s']",6,2025-04-09 14:44:14.754000+00:00,218628,dnCU9DpqXqdgavh7euSoCewo9UO2
[],[],"['2, 4, 6', '8, 10, 12']",['increasing numbers'],1,2025-04-12 18:57:44.022000+00:00,252895,kszQEdUE8OVNBTJSaiChtVlQr6K2
"[7933, 9811, 21472, 22605, 34831, 35987, 80868]",[],"['2, 4, 6', '1, 3, 5', '19, 21, 23']","['even numbers', 'even numbers', 'every other number', 'every other number', 'count by twos', 'count by twos', 'add 2', 'increasing number']",2,2025-04-12 19:47:21.687000+00:00,3515894,wGNiS4anDeadyMz0wNqCaWNnRAz2
